city,lat,lon,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,clouds,weather,sunrise,sunset,timestamp
Windhoek,-22.5594,17.0832,27.51,26.37,27.51,27.51,1011,18,4.36,65,broken clouds,1767672816,1767721249,1767693943
Swakopmund,-22.6833,14.5333,19.49,19.53,19.49,19.49,1013,78,3.87,40,scattered clouds,1767673413,1767721876,1767694048
Walvis Bay,-22.9575,14.5053,21.88,21.82,21.88,21.88,1013,65,4.42,45,scattered clouds,1767673387,1767721916,1767694049
Arandis,-22.4167,14.9667,24.1,23.71,24.1,24.1,1013,44,3.06,41,scattered clouds,1767673341,1767721740,1767694050
Usakos,-22.0,15.6,27.82,26.8,27.82,27.82,1011,26,0.89,50,scattered clouds,1767673239,1767721538,1767694050
Omaruru,-21.4333,15.9333,27.53,26.58,27.53,27.53,1011,25,1.82,47,scattered clouds,1767673226,1767721391,1767694051
Henties Bay,-22.116,14.2845,20.78,20.79,20.78,20.78,1013,72,3.91,30,scattered clouds,1767673541,1767721868,1767694052
Oshakati,-17.7833,15.6833,26.93,26.42,26.93,26.93,1012,31,2.42,0,clear sky,1767673707,1767721030,1767694053
Ongwediva,-17.7833,15.7667,27.02,26.47,27.02,27.02,1012,31,2.48,0,clear sky,1767673687,1767721010,1767694054
Ompundja,-17.9115,15.7014,26.7,26.31,26.7,26.7,1012,32,2.51,0,clear sky,1767673688,1767721040,1767694054
Eenhana,-17.4667,16.3333,29.72,28.26,29.72,29.72,1011,26,2.56,0,clear sky,1767673586,1767720839,1767694055
Helao Nafidi,-17.4247,15.8925,28.64,27.58,28.64,28.64,1011,30,2.41,0,clear sky,1767673696,1767720940,1767694056
Tsandi,-17.7463,14.8866,27.61,27.11,27.61,27.61,1011,36,2.79,0,clear sky,1767673902,1767721218,1767694058
Okahao,-17.885,15.0667,27.3,26.79,27.3,27.3,1011,34,2.52,0,clear sky,1767673843,1767721190,1767693936
Tsumeb,-19.2333,17.7167,29.55,27.91,29.55,29.55,1010,21,5.31,0,clear sky,1767673054,1767720707,1767694060
Oniipa,-17.9141,16.0424,27.2,26.55,27.2,27.2,1012,30,2.5,0,clear sky,1767673606,1767720959,1767694061
Otjiwarongo,-20.4637,16.6477,28.06,26.7,28.06,28.06,1011,16,2.9,0,clear sky,1767673169,1767721105,1767694062
Grootfontein,-19.5667,18.1167,29.25,27.62,29.25,29.25,1010,19,2.81,0,clear sky,1767672920,1767720649,1767694063
Okakarara,-20.5833,17.4333,30.26,28.42,30.26,30.26,1010,19,0.69,0,clear sky,1767672966,1767720931,1767694064
Opuwo,-18.0607,13.84,27.46,26.85,27.46,27.46,1012,33,2.78,8,clear sky,1767674118,1767721504,1767694065
Khorixas,-20.3667,14.9667,26.82,25.92,26.82,26.82,1012,18,2.08,23,few clouds,1767673584,1767721498,1767694065
Katima Mulilo,-17.5,24.2667,29.79,29.92,29.79,29.79,1010,44,2.45,76,broken clouds,1767671677,1767718938,1767694067
Kongola,9.0665,-10.1959,26.56,26.56,26.56,26.56,1014,60,0.78,100,overcast clouds,1767682672,1767724491,1767694068
Rundu,-17.9333,19.7667,32.03,29.82,32.03,32.03,1009,15,3.41,0,clear sky,1767672709,1767720067,1767694069
Mariental,-24.6333,17.9667,29.22,27.58,29.22,29.22,1011,18,3.27,33,scattered clouds,1767672349,1767721291,1767694072
Rehoboth,-23.3167,17.0833,28.43,27.0,28.43,28.43,1011,18,4.95,59,broken clouds,1767672724,1767721341,1767694072
Gibeon,37.9724,-76.6197,4.39,2.21,4.39,4.39,1014,90,2.46,100,overcast clouds,1767702162,1767736894,1767694073
Keetmanshoop,-26.5833,18.1333,29.01,27.37,29.01,29.01,1011,13,3.95,28,scattered clouds,1767672061,1767721500,1767694075
Lüderitz,-26.6481,15.1594,24.38,24.31,24.38,24.38,1013,55,9.24,3,clear sky,1767672767,1767722222,1767694076
Oranjemund,-28.55,16.4333,22.73,22.73,22.73,22.73,1014,64,5.08,5,clear sky,1767672209,1767722168,1767694076
Karasburg,-28.0167,18.75,27.03,26.03,27.03,27.03,1012,17,4.02,65,broken clouds,1767671724,1767721541,1767694077
Gobabis,-22.45,18.9667,29.57,27.9,29.57,29.57,1009,20,2.38,32,scattered clouds,1767672377,1767720784,1767694078
Leonardville,39.3644,-96.8589,3.21,-0.92,3.21,3.21,1007,81,5.04,0,clear sky,1767707252,1767741521,1767694079
Witvlei,-22.4,18.4833,28.94,27.42,28.94,28.94,1009,20,2.64,50,scattered clouds,1767672499,1767720894,1767694079
